Target_Y | Src_Y_Float | Pre_Idx | Pre_Weight | Post_Idx | Post_Weight
     374 |    840.8750 |     840 |         32 |      841 |         224
     375 |    843.1250 |     843 |        224 |      844 |          32
     376 |    845.3750 |     845 |        160 |      846 |          96
     377 |    847.6250 |     847 |         96 |      848 |         160
     378 |    849.8750 |     849 |         32 |      850 |         224
     379 |    852.1250 |     852 |        224 |      853 |          32
     380 |    854.3750 |     854 |        160 |      855 |          96
     381 |    856.6250 |     856 |         96 |      857 |         160
     382 |    858.8750 |     858 |         32 |      859 |         224
     383 |    861.1250 |     861 |        224 |      862 |          32
     384 |    863.3750 |     863 |        160 |      864 |          96
     385 |    865.6250 |     865 |         96 |      866 |         160
     386 |    867.8750 |     867 |         32 |      868 |         224
     387 |    870.1250 |     870 |        224 |      871 |          32
     388 |    872.3750 |     872 |        160 |      873 |          96
     389 |    874.6250 |     874 |         96 |      875 |         160
     390 |    876.8750 |     876 |         32 |      877 |         224
     391 |    879.1250 |     879 |        224 |      880 |          32
     392 |    881.3750 |     881 |        160 |      882 |          96
     393 |    883.6250 |     883 |         96 |      884 |         160
     394 |    885.8750 |     885 |         32 |      886 |         224
     395 |    888.1250 |     888 |        224 |      889 |          32
     396 |    890.3750 |     890 |        160 |      891 |          96
     397 |    892.6250 |     892 |         96 |      893 |         160
     398 |    894.8750 |     894 |         32 |      895 |         224
     399 |    897.1250 |     897 |        224 |      898 |          32
     400 |    899.3750 |     899 |        160 |      900 |          96
     401 |    901.6250 |     901 |         96 |      902 |         160
     402 |    903.8750 |     903 |         32 |      904 |         224
     403 |    906.1250 |     906 |        224 |      907 |          32
     404 |    908.3750 |     908 |        160 |      909 |          96
     405 |    910.6250 |     910 |         96 |      911 |         160
     406 |    912.8750 |     912 |         32 |      913 |         224
     407 |    915.1250 |     915 |        224 |      916 |          32
     408 |    917.3750 |     917 |        160 |      918 |          96
     409 |    919.6250 |     919 |         96 |      920 |         160
     410 |    921.8750 |     921 |         32 |      922 |         224
     411 |    924.1250 |     924 |        224 |      925 |          32
     412 |    926.3750 |     926 |        160 |      927 |          96
     413 |    928.6250 |     928 |         96 |      929 |         160
     414 |    930.8750 |     930 |         32 |      931 |         224
     415 |    933.1250 |     933 |        224 |      934 |          32
     416 |    935.3750 |     935 |        160 |      936 |          96
     417 |    937.6250 |     937 |         96 |      938 |         160
     418 |    939.8750 |     939 |         32 |      940 |         224
     419 |    942.1250 |     942 |        224 |      943 |          32
     420 |    944.3750 |     944 |        160 |      945 |          96
     421 |    946.6250 |     946 |         96 |      947 |         160
     422 |    948.8750 |     948 |         32 |      949 |         224
     423 |    951.1250 |     951 |        224 |      952 |          32
     424 |    953.3750 |     953 |        160 |      954 |          96
     425 |    955.6250 |     955 |         96 |      956 |         160
     426 |    957.8750 |     957 |         32 |      958 |         224
     427 |    960.1250 |     960 |        224 |      961 |          32
     428 |    962.3750 |     962 |        160 |      963 |          96
     429 |    964.6250 |     964 |         96 |      965 |         160
     430 |    966.8750 |     966 |         32 |      967 |         224
     431 |    969.1250 |     969 |        224 |      970 |          32
     432 |    971.3750 |     971 |        160 |      972 |          96
     433 |    973.6250 |     973 |         96 |      974 |         160
     434 |    975.8750 |     975 |         32 |      976 |         224
     435 |    978.1250 |     978 |        224 |      979 |          32
     436 |    980.3750 |     980 |        160 |      981 |          96
     437 |    982.6250 |     982 |         96 |      983 |         160
     438 |    984.8750 |     984 |         32 |      985 |         224
     439 |    987.1250 |     987 |        224 |      988 |          32
     440 |    989.3750 |     989 |        160 |      990 |          96
     441 |    991.6250 |     991 |         96 |      992 |         160
     442 |    993.8750 |     993 |         32 |      994 |         224
     443 |    996.1250 |     996 |        224 |      997 |          32
     444 |    998.3750 |     998 |        160 |      999 |          96
     445 |   1000.6250 |    1000 |         96 |     1001 |         160
     446 |   1002.8750 |    1002 |         32 |     1003 |         224
     447 |   1005.1250 |    1005 |        224 |     1006 |          32
     448 |   1007.3750 |    1007 |        160 |     1008 |          96
     449 |   1009.6250 |    1009 |         96 |     1010 |         160
     450 |   1011.8750 |    1011 |         32 |     1012 |         224
     451 |   1014.1250 |    1014 |        224 |     1015 |          32
     452 |   1016.3750 |    1016 |        160 |     1017 |          96
     453 |   1018.6250 |    1018 |         96 |     1019 |         160
